date,front,second,open,high,low,settle,volume,poi,atr,ret1,ret2
2000-01-04,2000H,2000M,445.0,446.0,439.0,441.9,177.0,2825.0,0.013999999999999999,-0.016385,-0.016486
2000-01-05,2000H,2000M,436.0,439.0,433.0,438.1,319.0,2798.0,0.013999999999999999,-0.008636,-0.010415
2000-01-06,2000H,2000M,434.5,437.0,431.5,435.3,180.0,2785.0,0.0138,-0.006412,-0.007622
2000-01-07,2000H,2000M,437.0,444.5,436.5,443.9,102.0,2790.0,0.0148,0.019563999999999998,0.019744
2000-01-10,2000H,2000M,443.9,456.0,443.9,451.95,143.0,2793.0,0.0165,0.017972,0.018134
2000-01-11,2000H,2000M,452.0,452.0,447.5,449.4,133.0,2789.0,0.0156,-0.005658,-0.0057090000000000005
2000-01-12,2000H,2000M,450.0,453.0,448.25,452.25,103.0,2839.0,0.0148,0.0063219999999999995,0.006378
2000-01-13,2000H,2000M,445.0,448.0,441.2,447.0,241.0,2914.0,0.0148,-0.011677,-0.011781
2000-01-14,2000H,2000M,439.0,442.0,436.2,441.0,274.0,2966.0,0.0146,-0.013513999999999998,-0.013637
2000-01-18,2000H,2000M,438.0,440.0,436.5,438.7,131.0,2987.0,0.0138,-0.005229,-0.0052770000000000004
2000-01-19,2000H,2000M,443.0,445.0,440.0,442.75,264.0,2930.0,0.0139,0.009189,0.012687
2000-01-20,2000H,2000M,442.0,451.8,442.0,451.7,201.0,2995.0,0.015,0.020013,0.019012
2000-01-21,2000H,2000M,452.0,458.0,451.0,457.1,216.0,3010.0,0.015,0.011884,0.013613
2000-01-24,2000H,2000M,460.0,470.5,460.0,470.25,212.0,2991.0,0.0168,0.028362000000000002,0.026897000000000004
2000-01-25,2000H,2000M,477.0,482.0,475.2,479.0,265.0,3005.0,0.0177,0.018436,0.015397
2000-01-26,2000H,2000M,474.0,480.0,468.0,472.0,413.0,3126.0,0.0186,-0.014722,-0.013259
2000-01-27,2000H,2000M,479.0,483.2,476.0,483.0,213.0,3088.0,0.019,0.023038,0.022698
2000-01-28,2000H,2000M,492.0,492.0,483.0,485.9,442.0,3102.0,0.0188,0.005986,0.006555
2000-01-31,2000H,2000M,485.8,488.5,483.5,484.7,80.0,3018.0,0.0176,-0.002473,-0.0024920000000000003
2000-02-01,2000H,2000M,485.0,499.5,485.0,492.55,221.0,2960.0,0.0192,0.016066,0.017723
2000-02-02,2000H,2000M,502.0,506.0,498.5,502.25,404.0,2928.0,0.0201,0.019502000000000002,0.01962
2000-02-03,2000H,2000M,510.0,517.0,506.5,514.05,201.0,2921.0,0.0212,0.023223,0.02336
2000-02-04,2000H,2000M,516.0,528.0,514.0,525.0,432.0,2813.0,0.0218,0.021078,0.022158
2000-02-07,2000H,2000M,529.0,544.0,529.0,540.9,546.0,2682.0,0.0234,0.029836,0.030905000000000002
2000-02-08,2000H,2000M,570.0,580.0,560.0,579.8,616.0,2419.0,0.0294,0.069449,0.069698
2000-02-09,2000H,2000M,578.0,598.0,574.0,590.15,403.0,2321.0,0.0305,0.017694,0.018604
2000-02-10,2000H,2000M,576.0,582.0,571.0,580.0,344.0,2252.0,0.0284,-0.017349,-0.017393000000000002
2000-02-11,2000H,2000M,593.0,600.0,590.0,598.85,433.0,2227.0,0.0286,0.031983,0.031226999999999998
2000-02-14,2000H,2000M,602.0,609.0,597.0,605.5,257.0,2068.0,0.027000000000000003,0.011043,0.010251
2000-02-15,2000H,2000M,655.0,662.0,640.0,658.35,0.0,0.0,0.0352,0.083682,0.078664
2000-02-16,2000H,2000M,670.0,720.0,670.0,711.15,744.0,1487.0,0.0423,0.07714700000000001,0.069284
2000-02-17,2000H,2000M,730.0,747.0,695.0,705.55,472.0,1298.0,0.0459,-0.007906,-0.002291
2000-02-18,2000H,2000M,700.0,710.0,662.0,701.25,857.0,1377.0,0.048,-0.006113,-0.006184
2000-02-22,2000H,2000M,775.0,835.0,730.0,816.8,1229.0,1133.0,0.064,0.15253,0.155397
2000-02-23,2000H,2000M,780.0,780.0,710.0,720.0,438.0,958.0,0.0673,-0.126143,-0.127306
2000-02-24,2000H,2000M,690.0,720.0,690.0,697.4,377.0,752.0,0.064,-0.031892000000000004,-0.027874
2000-02-25,2000H,2000M,685.0,700.0,665.0,689.0,311.0,628.0,0.0622,-0.012118,-0.010729
2000-02-28,2000M,2000U,700.0,720.0,700.0,718.7,315.0,2245.0,0.0513,0.046566,0.047205000000000004
2000-02-29,2000M,2000U,727.0,730.0,705.0,710.0,237.0,2343.0,0.0505,-0.012179,-0.012343000000000002
2000-03-01,2000M,2000U,700.0,700.0,680.0,682.9,206.0,2300.0,0.0479,-0.038917,-0.039455000000000004
2000-03-02,2000M,2000U,665.0,670.0,655.0,658.9,268.0,2334.0,0.0448,-0.035776999999999996,-0.036291000000000004
2000-03-03,2000M,2000U,640.1,660.0,633.0,650.0,178.0,2279.0,0.0445,-0.013599000000000002,-0.0138
2000-03-06,2000M,2000U,645.0,651.0,641.0,650.0,28.0,2252.0,0.0414,0.0,0.0
2000-03-07,2000M,2000U,633.0,670.0,632.9,665.5,152.0,2262.0,0.0438,0.023566,0.023912
2000-03-08,2000M,2000U,666.0,715.0,666.0,704.7,98.0,2281.0,0.0476,0.057234,0.060194000000000004
2000-03-09,2000M,2000U,702.85,702.85,675.25,687.0,57.0,2272.0,0.0464,-0.025438,-0.024262
2000-03-10,2000M,2000U,700.0,700.0,695.0,700.0,42.0,2269.0,0.0422,0.018746000000000002,0.018937
2000-03-13,2000M,2000U,696.0,696.0,685.0,685.0,27.0,2271.0,0.0383,-0.021661,-0.021883
2000-03-14,2000M,2000U,690.0,690.0,685.0,690.0,30.0,2279.0,0.0339,0.007273000000000001,0.007348
2000-03-15,2000M,2000U,691.0,708.0,691.0,699.0,80.0,2273.0,0.0329,0.012959,0.013091
2000-03-16,2000M,2000U,710.0,719.0,710.0,713.0,55.0,2283.0,0.0322,0.019831,0.020028999999999998
2000-03-17,2000M,2000U,713.0,717.0,709.0,710.0,9.0,0.0,0.0293,-0.004215999999999999,-0.004258
2000-03-20,2000M,2000U,709.0,710.0,675.0,678.4,62.0,2308.0,0.0321,-0.045528,-0.045992
2000-03-21,2000M,2000U,680.0,680.0,650.5,655.0,199.0,2341.0,0.0338,-0.035102,-0.035474
2000-03-22,2000M,2000U,655.0,670.0,650.5,652.05,88.0,2337.0,0.0335,-0.004514,-0.004563
2000-03-23,2000M,2000U,647.0,658.0,638.0,642.0,138.0,2341.0,0.0337,-0.015533000000000002,-0.015703
