date,CD,C,S,ATW,ES,PA,SB,PL,GC,CL,AD,TU
2000-03-30,0.0003768,-0.0052386,0.0031266,0.0,0.0,0.0024024,0.0029304,-0.0018742,-0.0002842,-0.0015402,-0.0004234,0.0
2000-03-31,0.0006362,0.0022622,0.0034374,0.0,0.0026714,0.001787,0.0099312,0.006362,-0.0016264,-0.0023642,0.0016334,0.0
2000-04-03,0.0001734,-0.0014366,0.0003584,0.0,-0.0019512,0.0046254,0.0010354,0.000755,0.0007054,0.003364,0.000197,0.0
2000-04-04,0.0003182,-0.0016546,-0.0030672,0.0,-0.0031622,-0.0035558,-0.0013816,0.0070746,-0.0043344,0.0063448,0.000559,0.0
2000-04-05,-0.0004336,0.0,0.00181,0.0,0.0027696,-0.0011374,0.0064796,-0.0022352,0.0019106,-0.0014274,-0.0001316,0.0
2000-04-06,0.00026,-0.0041974,-0.0043718,0.0,0.0014356,0.0033116,-0.0013468,-0.0040872,0.0007556,0.001507,0.0010558,0.0
2000-04-07,0.0006952,0.0016896,0.002925,0.0,0.001619,0.0024242,-0.0037512,-0.0107092,0.0001376,0.0052432,-0.001261,0.0
2000-04-10,-0.0006686,-0.0019018,-0.0025572,0.0,0.0012216,0.0085422,-0.0003446,0.003533,-0.0010304,0.0104006,0.0001998,0.0
2000-04-11,0.000233,-0.0032104,-0.0016612,0.0,-0.0025806,-0.0040318,0.0051066,0.0006474,0.0002056,-0.0013728,0.0008682,0.0
2000-04-12,-0.0001166,-0.0019324,0.0036732,0.0,-0.0006504,0.0011436,0.0019324,0.0009458,6.86e-05,-0.0112226,-0.0002342,0.0
2000-04-13,0.001374,-0.0019138,0.0004544,0.0,-0.007805,-0.0002508,0.0059988,0.0014956,0.000206,0.0009724,-0.000167,0.0
2000-04-14,0.000617,0.001061,-0.0022826,0.0,-0.0142102,-0.0071206,0.0033926,0.0011884,-0.0009592,0.0023698,-6.68e-05,0.0
2000-04-17,0.0012988,-0.0020662,-0.0004564,0.0,0.0071436,0.0011954,0.0075028,-0.0053612,0.0002736,-0.0013224,0.0021484,0.0
2000-04-18,-0.0005028,-0.000622,0.0011842,0.0,-0.0049556,-0.002641,-0.0026686,0.0013862,0.000823,-0.000986,-0.0014794,0.0
2000-04-19,-0.0012662,-0.0026736,0.0013578,0.0,-0.0005484,0.0037562,0.0026686,-0.0028258,0.000344,-0.0068486,-0.000134,0.0
2000-04-20,0.0002348,0.0,-0.0012648,0.0,0.0,0.0043096,0.0029348,-0.0039798,0.0006896,-0.0007116,0.0017448,0.0
2000-04-24,0.000882,0.0,0.0053932,0.0,0.0,0.0,-0.005298,-0.0206208,0.0004148,0.0,-0.0011416,0.0
2000-04-25,-0.0017036,0.0,-0.0001788,0.0,0.0,0.0,-0.0005932,0.0,0.0019412,0.0,0.0012088,0.0
2000-04-26,0.0009392,0.0,-0.0021496,0.0,0.0,0.0,-0.0053772,0.0,0.00349,0.0,0.0034452,0.0
2000-04-27,0.0006468,0.0,-0.006154,0.0,-0.009484,0.0,-0.000602,0.0,-0.0018184,0.0,-0.0004748,0.0
2000-04-28,0.0014152,0.0,-0.004586,0.0,0.0022884,0.0,0.0147836,0.0,0.0051976,0.0,0.0031292,0.0
2000-05-01,-0.000708,0.0,0.0198096,0.0,-0.0081512,0.0,-0.007028,0.0,-0.0001412,0.0,0.0015052,0.0
2000-05-02,0.0020096,0.0,-0.0019028,0.0,0.0080164,0.0,-0.0101724,-0.0111084,-0.0032376,0.0,-0.0026648,0.0001584
2000-05-03,0.0019008,0.0067928,0.0049968,0.0,0.0,-0.0035392,0.0024168,-0.0063268,-0.0032116,0.0,-0.005142,0.00019
2000-05-04,0.0011328,-0.0014996,-0.000514,0.0,-0.000626,0.0,0.008346,0.0071856,-0.00291,0.0022656,0.0012792,0.0001904
2000-05-05,-0.0017872,-0.0037736,-0.0039628,0.0,-0.0048352,0.0,0.0035244,0.0,0.0015216,0.0053852,-0.0036256,0.0006348
2000-05-08,0.0001784,-0.0095928,-0.0054044,0.0,0.0023412,0.0,-0.0076756,0.0013908,0.0,0.0121464,0.0100156,0.0003176
2000-05-09,-0.0001188,-0.0031188,-0.0019352,0.0,0.0020076,0.0,0.0047408,0.0037996,0.0,0.0092612,-0.0011632,-9.52e-05
2000-05-10,0.0005948,0.0,0.0106164,0.0,0.0055212,0.0,0.0005888,0.0,-0.0008364,-0.0049604,0.0013004,-0.0001908
2000-05-11,-0.0015452,-0.0015312,0.0,0.0,-0.0033636,-0.0038072,0.0017608,0.0,0.0029344,0.0124944,0.0023376,-3.16e-05
2000-05-12,5.92e-05,0.0,-0.0012056,0.0,-0.0052,0.0,0.0104052,0.0,-0.0007008,0.006172,-0.0016516,0.0007948
2000-05-15,-0.0003556,0.0,-0.011372,0.0,-0.0056768,0.0,0.0095848,0.0,0.0005604,0.0046008,0.0050444,-0.0002228
2000-05-16,0.0002372,-0.0054956,-0.0046408,0.0,-0.0057312,0.0,0.0093604,0.0,0.0005612,-0.001078,-0.0024956,3.2e-05
2000-05-17,0.0027972,0.0,0.0,0.0,0.0,0.0,-0.0060316,0.0020396,0.0032424,-0.0028432,0.0054972,0.0001592
